conten_bad,urls,hashtags,mentions,following,locations_bad,actions,is_retweet,Type
0,1,2,0,0,0,0.0,0.0,Quality
0,0,0,1,0,0,0.0,0.0,Quality
0,1,0,0,0,1,0.0,0.0,Quality
1,2,1,0,1,1,294.0,0.0,Spam
1,1,0,0,1,0,1522.0,0.0,Spam
1,1,0,0,0,0,27750.0,0.0,Spam
0,1,5,1,0,1,0.0,0.0,Quality
0,1,3,2,0,0,0.0,0.0,Quality
0,2,1,0,0,0,47.0,0.0,Quality
1,2,0,0,0,1,6331.0,0.0,Spam
0,1,0,2,0,1,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
1,2,2,0,0,0,4792.0,1.0,Spam
1,2,3,0,1,1,3564.0,1.0,Spam
1,1,0,0,0,1,13601.0,1.0,Spam
0,1,0,1,0,0,0.0,0.0,Quality
0,0,3,0,1,0,434.0,0.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
0,0,1,4,0,0,259.0,0.0,Quality
0,0,0,0,0,2,0.0,0.0,Quality
0,2,6,0,0,1,0.0,0.0,Quality
1,2,0,0,0,0,6219.0,1.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,1,0.0,0.0,Quality
0,0,0,1,0,1,0.0,0.0,Quality
0,0,1,0,0,0,5797.0,1.0,Spam
0,0,2,0,1,0,28238.0,0.0,Spam
1,1,0,0,0,0,33170.0,0.0,Spam
0,0,0,0,0,1,0.0,0.0,Quality
1,1,0,0,0,1,3775.0,1.0,Spam
0,0,0,0,0,1,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,0.0,1.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,0.0,0.0,Quality
0,1,1,1,0,0,0.0,0.0,Quality
0,0,0,0,0,0,2.0,0.0,Quality
1,1,0,0,1,0,1173.0,0.0,Spam
0,0,0,1,0,0,2028.0,1.0,Spam
0,0,1,0,0,0,22201.0,0.0,Spam
0,1,0,1,0,2,4.0,0.0,Quality
0,0,0,0,1,1,4840.0,1.0,Spam
1,2,3,0,1,0,1266.0,0.0,Spam
0,0,1,0,0,0,4.0,0.0,Spam
1,1,0,0,0,0,5451.0,0.0,Spam
1,2,0,0,0,0,17951.0,0.0,Spam
1,1,0,0,0,1,49649.0,0.0,Spam
1,1,1,0,0,0,42960.0,0.0,Spam
0,0,1,0,0,1,15861.0,0.0,Spam
0,0,0,0,0,0,0.0,1.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
1,2,2,0,0,0,2488.0,0.0,Spam
0,0,1,0,0,0,1790.0,1.0,Spam
0,0,0,0,0,1,0.0,0.0,Quality
1,2,0,0,1,0,2330.0,1.0,Spam
0,0,2,0,1,1,303.0,0.0,Spam
0,1,1,1,0,0,0.0,0.0,Quality
0,1,1,0,0,0,45.0,0.0,Quality
0,2,3,0,0,0,0.0,0.0,Quality
0,0,0,0,0,1,1457.0,0.0,Quality
0,0,0,0,0,1,20.0,0.0,Quality
0,1,0,0,0,0,316.0,0.0,Quality
0,0,0,0,0,1,0.0,0.0,Quality
1,1,0,0,1,1,722.0,0.0,Spam
1,1,1,0,0,1,4757.0,0.0,Spam
1,1,1,1,1,1,2539.0,1.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
1,1,2,0,1,0,10960.0,0.0,Spam
1,2,0,0,0,0,16920.0,0.0,Spam
1,1,0,0,0,0,52.0,1.0,Spam
0,1,2,2,0,0,13.0,0.0,Quality
0,1,0,0,0,0,441.0,0.0,Quality
1,2,0,0,0,0,15149.0,0.0,Spam
1,2,0,0,0,0,875.0,0.0,Spam
1,2,0,0,0,1,17664.0,0.0,Spam
0,0,0,1,0,0,0.0,0.0,Quality
1,2,0,0,0,1,14449.0,0.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,0.0,0.0,Quality
0,1,0,1,0,0,0.0,0.0,Quality
1,2,0,0,0,1,156730.0,0.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,23.0,0.0,Quality
0,0,2,1,0,0,0.0,0.0,Quality
1,1,1,0,1,1,1421.0,0.0,Spam
0,0,0,0,0,1,0.0,1.0,Quality
1,2,0,0,1,1,376.0,0.0,Spam
0,0,1,0,0,1,8976.0,1.0,Spam
0,2,1,1,0,0,0.0,0.0,Quality
0,1,0,0,0,1,46.0,0.0,Quality
0,1,0,1,0,0,0.0,0.0,Quality
1,2,1,0,0,0,69.0,0.0,Spam
0,1,0,2,0,0,2.0,0.0,Quality
0,1,0,0,0,1,0.0,0.0,Quality
0,1,1,0,0,2,0.0,0.0,Quality
0,0,1,0,0,0,0.0,1.0,Quality
1,1,1,0,0,0,17179.0,0.0,Spam
0,0,1,0,1,0,4264.0,1.0,Spam
1,2,0,0,0,0,23393.0,0.0,Spam
1,1,0,0,1,1,1624.0,0.0,Spam
0,1,0,0,0,1,53.0,0.0,Quality
1,1,0,0,0,1,6188.0,0.0,Spam
1,1,1,0,0,1,37511.0,0.0,Spam
1,1,0,0,1,0,17309.0,0.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
0,1,3,3,0,0,0.0,0.0,Quality
1,2,2,0,1,0,12137.0,1.0,Spam
0,1,1,0,0,0,0.0,0.0,Quality
0,1,0,1,0,0,0.0,0.0,Quality
0,0,0,0,1,1,1132.0,0.0,Spam
1,2,0,0,1,0,741.0,1.0,Spam
1,1,0,0,1,1,221.0,0.0,Spam
0,1,0,0,0,2,0.0,0.0,Quality
1,1,1,0,1,0,1232.0,1.0,Spam
1,1,2,0,0,1,7858.0,0.0,Spam
1,1,1,0,1,0,868.0,0.0,Spam
0,0,0,0,1,0,1004.0,1.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
1,2,0,0,1,0,28084.0,0.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
1,2,0,0,0,0,2593.0,0.0,Spam
0,1,0,0,0,0,21.0,0.0,Quality
0,0,0,1,0,0,0.0,0.0,Quality
1,2,0,1,1,1,2259.0,1.0,Spam
0,2,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,1,0.0,0.0,Quality
0,1,1,1,0,0,0.0,0.0,Quality
0,1,0,0,0,1,0.0,0.0,Quality
1,2,2,0,1,0,1222.0,0.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
1,1,2,1,0,1,527.0,1.0,Spam
0,1,0,1,0,0,0.0,0.0,Quality
1,1,1,3,1,1,951.0,1.0,Spam
0,0,3,0,1,2,181.0,0.0,Spam
0,0,0,2,0,0,0.0,0.0,Quality
1,2,0,0,0,1,39440.0,0.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,2352.0,1.0,Spam
0,2,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
1,2,0,0,1,2,13813.0,1.0,Spam
1,2,0,0,0,0,1573.0,0.0,Spam
0,0,1,0,0,0,11044.0,0.0,Spam
0,1,0,0,0,0,7.0,0.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,0.0,1.0,Quality
0,1,0,0,0,0,0.0,0.0,Quality
1,1,0,0,0,0,159953.0,1.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
0,0,1,1,0,0,0.0,0.0,Quality
0,1,2,0,0,0,35.0,0.0,Quality
1,1,1,0,0,1,3536.0,1.0,Spam
1,1,4,0,1,0,8550.0,0.0,Spam
0,2,0,0,0,1,68.0,0.0,Quality
0,0,1,0,0,1,13330.0,0.0,Spam
1,1,2,0,0,1,6426.0,1.0,Spam
0,1,0,0,0,1,0.0,0.0,Quality
0,0,0,0,1,1,1742.0,0.0,Spam
0,1,0,0,0,1,0.0,0.0,Quality
0,0,1,0,1,0,7744.0,0.0,Spam
0,0,0,0,0,0,17.0,0.0,Quality
0,0,0,0,0,1,0.0,0.0,Quality
0,0,1,0,1,1,924.0,0.0,Spam
0,1,0,0,0,1,321.0,0.0,Quality
0,2,1,0,0,1,0.0,0.0,Quality
0,0,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,1,0.0,0.0,Quality
1,1,0,0,1,1,530.0,0.0,Spam
0,0,0,2,1,1,4283.0,0.0,Spam
0,1,0,1,0,0,933.0,0.0,Quality
1,2,0,0,1,0,4386.0,0.0,Spam
0,1,0,0,0,1,0.0,0.0,Quality
0,0,1,0,0,1,6407.0,0.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,1,5770.0,1.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
0,1,0,1,0,0,0.0,0.0,Quality
0,0,1,0,1,2,17180.0,0.0,Spam
0,0,0,0,0,0,0.0,0.0,Quality
0,0,0,0,0,0,12.0,0.0,Quality
1,2,0,0,0,0,5626.0,1.0,Spam
0,1,0,0,0,0,0.0,0.0,Quality
0,2,0,1,0,0,46.0,0.0,Quality
0,2,0,0,0,0,0.0,0.0,Quality
0,1,0,0,0,1,0.0,0.0,Quality
0,0,1,0,0,1,43105.0,0.0,Spam
1,1,2,0,0,0,4237.0,1.0,Spam
0,2,2,0,0,0,0.0,0.0,Quality
1,1,0,1,0,0,9305.0,1.0,Spam
0,1,4,0,0,1,6.0,0.0,Quality
0,1,0,1,0,1,0.0,0.0,Quality
0,1,2,0,0,0,0.0,0.0,Quality
0,1,1,6,0,1,20.0,0.0,Quality
0,0,1,1,0,0,0.0,0.0,Quality
0,0,2,0,0,1,1748.0,0.0,Spam
1,1,0,0,0,0,2876.0,0.0,Spam
